Numero_Requerimento;Rito_Requerimento;Numero_Processo;Data_requerimento;Data_Registro;Data_Encerramento;Status_Requerimento;Valor_Mobiliario;Tipo_requerimento;Bookbuilding;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Grupo_Coordenador;Tipo_Oferta;Emissao;Qtde_Total_Registrada;Valor_Total_Registrado;Oferta_inicial;Oferta_vasos_comunicantes;Publico_alvo;Reabertura_serie;Titulo_classificado_como_sustentavel;Titulo_padronizado;Destinacao_recursos;Data_deliberacao_aprovou_oferta;Mercado_negociacao;Tipo_lastro;Regime_fiduciario;Ativos_alvo;Descricao_garantias;Descricao_lastro;Identificacao_devedores_coobrigados;Possibilidade_revolvencia;FIDC_nao_padronizado;Titulo_incentivado;Regime_distribuicao;Tipo_societario;Administrador;Gestor;Agente_fiduciario;Escriturador;Custodiante;Avaliador_Risco;Processo_SEI;Endereco_emissor_rede_mundial_computadores;Num_Invest_Pessoa_Natural;Qtde_VM_Pessoa_Natural;Num_Invest_Clube_Investimento;Qtde_VM_Clube_Investimento;Num_Invest_Fundos_Investimento;Qtde_VM_Fundos_Investimento;Num_Invest_Entidade_Previdencia_Privada;Qtde_VM_Entidade_Previdencia_Privada;Num_Invest_Companhia_Seguradora;Qtde_VM_Companhia_Seguradora;Num_Invest_Investidor_Estrangeiro;Qtde_VM_Investidor_Estrangeiro;Num_Invest_Instit_Intermed_Partic_Consorcio_Distrib;Qtde_VM_Instit_Intermed_Partic_Consorcio_Distrib;Num_Invest_Instit_Financ_Emissora_Partic_Consorcio;Qtde_VM_Instit_Financ_Emissora_Partic_Consorcio;Num_Invest_Demais_Instit_Financ;Qtde_VM_Demais_Instit_Financ;Num_Invest_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtde_VM_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Num_Invest_Demais_Pessoa_Juridica;Qtde_VM_Demais_Pessoa_Juridica;Num_Invest_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdte_VM_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
422;Automático;SRE/0011/2023;2023-01-10;;;Requerimento Expirado;Debêntures;OPD Aut Profissional - com bookbuilding;S;15.139.629/0001-94;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;*;0;0.0;;S;Profissional;N;S;N;"1ª e 2ª Séries: Os recursos líquidos captados pela Emissora por meio das Debêntures da Primeira Série e das Debêntures da Segunda Série serão utilizados para capital de giro da gestão ordinária do negócio.3ª e 4ª Série: Nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, do Decreto 8.874, e da Resolução do Conselho Monetário Nacional (""CMN"") nº 3.947, de 27 de janeiro de 2011 por meio da Portaria nº 1516/SPE/MME, de 25 de julho de 2022.";09/01/2023;Cetip21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;;;;Pentágono S.A. DTVM;Banco Bradesco S.A.;;Standard & Poor's;;https://ri.neoenergia.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
452;Automático;SRE/0017/2023;2023-01-11;2023-05-26;;Oferta Revogada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;28.201.130/0001-01;ENERGISA TRANSMISSÃO DE ENERGIA S.A.;59.588.111/0001-03;BANCO VOTORANTIM SA;;PRIMARIA;;0;0.0;;;Qualificado;N;N;N;Nos termos do artigo 2º da Lei nº 12.431, do Decreto nº 8.874 e das Portarias do MME, a totalidade dos recursos captados pela Emissora por meio da Emissão serão destinados para o financiamento futuro de projetos de infraestrutura de transmissão de energia elétrica.;10/01/2023;MDA - Módulo de Distribuição de Ativos, administrado e operacionalizado pela B3 S.A. - Brasil, Bolsa, Balcão - Balcão B3;;;;;;;;;S;Garantia Firme de Colocação;;;;Pentágono S.A. Distribuidora de Títulos e Valores Mobiliários;Itaú Corretora de Valores S.A.;;Fitch Ratings Brasil Ltda;;http://www.energisa.com.br/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
558;Automático;SRE/0065/2023;2023-01-26;2023-02-17;2023-02-24;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;11.669.021/0001-10;ENAUTA PARTICIPAÇÕES S.A.;30.306.294/0001-45;BANCO BTG PACTUAL S/A;;SECUNDARIA;1;357430;372542140.4;;;Qualificado;N;N;N;Tendo em vista que a Oferta Secundária é uma distribuição pública secundária de Debêntures da Oferta Secundária detidas pelo Debenturista Vendedor, a Companhia não receberá quaisquer recursos em decorrência da realização da Oferta Secundária. O Debenturista Vendedor receberá integralmente os recursos líquidos resultantes da venda das Debêntures da Oferta Secundária no âmbito da Oferta Secundária;22/11/2022;CETIP21;;;;;;;;;S;Melhores Esforços;;;;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
926;Automático;SRE/0272/2023;2023-03-02;2023-04-04;2023-04-12;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;10.841.050/0001-55;CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;3;1180000;1180000000.0;;;Profissional;N;N;N;Reembolso de gastos ou despesas do Projeto (conforme definido na Escritura de Emissão) que ocorreram em prazo igual ou inferior a 24 (vinte e quatro) meses contados da data de encerramento da Oferta e na realização de investimentos futuros relacionados à implantação do Projeto, nos termos da Lei 12.431.;02/03/2023;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;ITAÚ CORRETORA DE VALORES S.A.;;Standard and Poor's Ratings do Brasil Ltda.;;https://ri.ecorodovias.com.br/debentures-companhias-abertas/ecopistas/;746;215181;0;0;69;237500;0;0;0;0;0;0;4;212592;2;212594;2;302000;0;0;3;133;0;0
1096;Automático;SRE/0412/2023;2023-03-20;2023-04-14;2023-04-18;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;31.748.174/0001-60;VERO S.A.;30.306.294/0001-45;BANCO BTG PACTUAL S/A;;PRIMARIA;2;375000;375000000.0;;;Qualificado;N;N;N;Serão utilizados para fins de: (a) implementação e desenvolvimento de Projeto (cf. Escritura), observada a Lei 12.431, no Decreto 8.874 e na Portaria 6.120, de 5/07/2022 (b) o pagamento futuro de gastos, despesas e/ou dívidas, a serem incorridas relacionados ao Projeto (cf. Escritura), nos termos da Lei 12.431, do Decreto 8.874 e da Portaria e (c) o pagamento e/ou reembolso relacionados ao Projeto;17/03/2023;MDA B3 -CETIP;;;;;;;;;S;Garantia Firme de Colocação;;;;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Itaú Corretora de Valores S.A.;;Standard & Poor's;;http://www.vero-ri.com.br/;817;40921;0;0;22;72000;0;0;0;0;0;0;3;257799;0;0;0;0;0;0;12;4280;0;0
1225;Automático;SRE/0520/2023;2023-03-29;2023-05-22;2023-05-24;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;35.764.708/0001-01;BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;30.306.294/0001-45;BANCO BTG PACTUAL S/A;;PRIMARIA;1;125000;125000000.0;;;Profissional;;N;;Nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, bem como do Decreto 8.874, da Resolução CMN 4.751, os recursos líquidos captados por meio da Emissão serão destinados exclusivamente para pagamentos futuros ou reembolso de gastos, despesas ou dívidas incorridos, em um prazo de até 24 (vinte e quatro) meses que antecedem a data de divulgação do anúncio de encerramento da Oferta, relacionados à implantação do Projeto.;22/03/2023;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Misto;SA capital fechado;;;Pentágono S.A. Distribuidora de Títulos e Valores Mobiliários;Itaú Corretora de Valores S.A.;;;;;234;33159;0;0;21;27800;0;0;0;0;0;0;1;56589;0;0;0;0;5;372;0;0;1;7080
1338;Automático;SRE/0625/2023;2023-04-13;2023-05-03;2023-05-09;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;01.543.032/0001-04;CELG DISTRIBUIÇÃO S.A. - CELG D;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;PRIMARIA;3;1000000;1000000000.0;;;Qualificado;N;N;N;Os recursos captados serão destinados ao custeio de despesas relacionadas ao Projeto, nos termos da Lei 12.431.;10/04/2023;MDA - B3;;;;;;;;;S;Misto;;;;Pentágono S.A. - Distribuidora de Títulos e Valores Mobiliários;Itaú Corretora de Valores S.A.;;S&P Global Ratings;;https://ri.equatorialenergia.com.br/;6403;960306;0;0;4;1440;0;0;0;0;0;0;0;0;0;0;1;15902;0;0;19;3476;245;18876
1487;Automático;SRE/0738/2023;2023-04-27;2023-05-09;2023-05-30;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - Emissor Não Registrado;S;36.238.971/0001-11;TRANSMISSORA RIO-MINAS SPE S.A.;06.271.464/0001-19;BANCO BRADESCO BBI S.A.;;PRIMARIA;1;270000;270000000.0;;;Profissional;;N;;(i) o pagamento de despesas e gastos futuros e/ou (ii) o reembolso de gastos, despesas ou dívidas incorridos em um período igual ou inferior a 24 (vinte e quatro) meses anteriores a data de encerramento da Oferta, em ambos os casos, diretamente relacionados à implantação de instalações de transmissão de energia elétrica do Projeto;04/04/2023;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Melhores Esforços;SA capital fechado;;;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Banco Bradesco S.A.;;;;;2;54000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;216000;0;0;0;0;0;0
1565;Automático;SRE/0811/2023;2023-05-05;2023-05-05;2023-05-11;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;08.630.227/0001-22;BRK Ambiental - Rio Claro S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;1;100000;100000000.0;;;Profissional;;N;;os recursos líquidos captados pela Emissora por meio da Emissão das Debêntures, serão utilizados exclusivamente para (i) implantação da Ampliação do Sistema de Esgotamento Sanitário de Rio Claro/SP e/ou (ii) pagamentos futuros ou reembolsos de gastos, despesas e/ou dívidas relacionados a implantação do Projeto, que tenham ocorrido em prazo igual ou inferior a 24 (vinte e quatro) meses contados da data de encerramento da Oferta;17/04/2023;CETIP21;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Itaú Corretora de Valores S.A.;;n.a.;;https://www.ri.brkambiental.com.br/brk-ambiental-rio-claro-s-a/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;100000;0;0;0;0;0;0;0;0
1610;Automático;SRE/0882/2023;2023-05-12;2023-06-21;2023-06-26;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;42.353.180/0001-35;IGUÁ RIO DE JANEIRO S.A.;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;PRIMARIA;4;3800000;3800000000.0;;;Qualificado;N;S;N;Conforme Escritura de Emissão, nos termos do art. 2°, § 1°, da Lei 12.431, do Decreto 8.874, e da Resolução CMN 5.034, os recursos líquidos captados pela Emissora por meio das Debêntures serão utilizados exclusivamente para o pagamento futuro e/ou reembolso de gastos, despesas, outorgas e/ou dívidas relacionados à implantação do Projeto de Investimento, desde que o pagamento dos referidos gastos, despesas e/ou dívidas passíveis de reembolso tenham ocorrido em prazo igual ou inferior a 24 (vinte e quatro) meses da data de encerramento da Oferta.;08/05/2023;B3 S.A. - Brasil, Bolsa, Balcão - Balcão B3;;;;;;;;;S;Misto;;;;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;;Standard & Poor's Ratings do Brasil Ltda.;;https://ri.igua.com.br/;16308;1182798;0;0;138;472534;0;0;0;0;0;0;0;0;2;289701;1;1800000;0;0;313;54966;1;1
